TMDB_ID,Title,Release_Date,Poster_Path
508348,En Kanavar,10-11-1989,/cWH9kC3NmbRJTUkeJAIPK6NfSdj.jpg
66261,Kodi Parakuthu,10-11-1989,/410RNMQFnAUxUEU2X4IYimL3bbJ.jpg
1573176,Ponnu Pakka Poren,22-12-1989,/53EJllPSnHy8E9n2fYzjtE79sh1.jpg
1391974,Pattanathil Petti,01-01-1990,/1vs6YDFQnMGs4mHv6x9gzX9xZd6.jpg
756839,Children of Mini-Japan,01-01-1990,/wZjegy3uBwSuMA78pUfLUTzDDzM.jpg
659230,Thiyagu,01-01-1990,/7oU8DpyGRBUbl22XhRXlinXTQ64.jpg
1126679,Nalla Kaalam Porandaachu,14-01-1990,/3abeP3fdYfGTyhl1AYLERd9FXpO.jpg
78738,Idhaya Thamarai,14-01-1990,/9TOGaRZHkO9k8IDChhqLguUHDns.jpg
78580,Pulan Visaranai,14-01-1990,/4OsX0XpLETZRbnz3wCRRuUUcnxs.jpg
66257,Panakkaran,14-01-1990,/1gH4ul7bC2AjLIyACOjqzFdOpYR.jpg
510037,Vazhkai Chakkaram,09-02-1990,/5xRdDkxfxSnFIVh76RaHHm1g1qJ.jpg
381029,En Uyir Thozhan,16-02-1990,/uMgikT8bh4f5pABs6BycfCG4uTL.jpg
270990,Arangetra Velai,23-02-1990,/43xnfhnZvMyTMq8NglTduJWCcLC.jpg
327517,Marupakkam,26-02-1990,/8RqkNr8qHD7QEP7cifKEzJVKzh7.jpg
14445,Michael Madana Kama Rajan,01-03-1990,/3TzfpFmdTuwRczVmJzB3P9xsHGD.jpg
908146,Valiba Vilayattu,02-03-1990,/d7c6rRSuQ7e9olVG4WsL3L2aWKT.jpg
908157,Jagathalaprathapan,17-03-1990,/z60GPMjal9gmTplwdObdNH3EKJj.jpg
322082,Ulagam Pirandhadhu Enakkaga,14-04-1990,/5NP94joIur768nnPlO3MAJ75Mb0.jpg
78605,Pudhu Paadagan,14-04-1990,/i8A4xmqh4ooofsUd5hezDuj5szl.jpg
504703,Maruthu Pandi,27-04-1990,/nI5qdvLHApaUTa3aZA8e2gBU0IZ.jpg
1308761,Neengalum Herothan,25-05-1990,/p7hoxreqsEws0167Lp1fup6lAMm.jpg
66408,Sandhana Kaatru,01-06-1990,/d7oia9muLwruou3a0vkYFLm6NLE.jpg
371576,Periya Idathu Pillai,02-06-1990,/7IWyBDB3NbvA0qNBpa9isRF9Y0q.jpg
413899,Mounam Sammadham,15-06-1990,/yuVmnOsBsIRC8NZT5NdCWy0RKVB.jpg
66256,Athisaya Piravi,15-06-1990,/4URplSfCzCM4FIGHeAw8eIB4VAq.jpg
519379,Nila Pennae,03-07-1990,/mwKQ9QVdxqtHStyUN5TZTZB3KYt.jpg
651492,Adhisaya Manithan,06-07-1990,/jiP9uewMyCdWu55TRCeTTwvMDtc.jpg
223365,Anjali,12-07-1990,/sCIqLX6yNBmFgI4OSLklVJP0Umh.jpg
281369,Ooru Vittu Ooru Vanthu,14-07-1990,/6eXz8UnaoFBTZsman7UFG8R5rzS.jpg
